language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed
English,L5_correlated_maximal,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11001
English,L5_correlated_maximal,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11002
English,L5_correlated_maximal,proposal,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11003
English,L5_correlated_maximal,proposal,broad,60,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11004
English,L5_correlated_maximal,proposal,broad,30,30,1,0.8,-0.5,0.2,TRUE,1500,750,4,11005
English,L5_correlated_maximal,proposal,broad,40,30,1,0.8,-0.5,0.2,TRUE,1500,750,4,11006
English,L5_correlated_maximal,proposal,ceiling_calibrated,30,20,1,0.8,-0.5,-0.2,TRUE,1500,750,4,11007
English,L5_correlated_maximal,proposal,ceiling_calibrated,50,20,1,0.8,-0.5,-0.2,TRUE,1500,750,4,11008
English,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11009
English,L5_correlated_maximal,literature_centred,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11010
English,L5_correlated_maximal,weak,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11011
English,L5_correlated_maximal,weak,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11012
English,L5_correlated_maximal,heavy_tailed,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11013
English,L5_correlated_maximal,heavy_tailed,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11014
English,L4_uncorrelated_maximal,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11015
English,L4_uncorrelated_maximal,proposal,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11016
English,L3_no_participant_interaction_slope,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11017
English,L3_no_participant_interaction_slope,proposal,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11018
English,L2_sentence_type_slopes_only,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11019
English,L2_sentence_type_slopes_only,proposal,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,11020
Turkish,L5_correlated_maximal,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12001
Turkish,L5_correlated_maximal,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12002
Turkish,L5_correlated_maximal,proposal,broad,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12003
Turkish,L5_correlated_maximal,proposal,ceiling_calibrated,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12004
Turkish,L5_correlated_maximal,proposal,ceiling_calibrated,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12005
Turkish,L5_correlated_maximal,proposal,broad,30,20,1,0.8,-0.5,-0.2,TRUE,1500,750,4,12006
Turkish,L5_correlated_maximal,proposal,broad,50,20,1,0.8,-0.5,-0.2,TRUE,1500,750,4,12007
Turkish,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12008
Turkish,L5_correlated_maximal,literature_centred,ceiling_calibrated,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12009
Turkish,L5_correlated_maximal,weak,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12010
Turkish,L4_uncorrelated_maximal,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12011
Turkish,L4_uncorrelated_maximal,proposal,ceiling_calibrated,50,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12012
Turkish,L3_no_participant_interaction_slope,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12013
Turkish,L2_sentence_type_slopes_only,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,1500,750,4,12014
Norwegian,L5_correlated_maximal,proposal,broad,30,20,1,0.8,-0.5,0,FALSE,1500,750,4,13001
Norwegian,L5_correlated_maximal,proposal,broad,50,20,1,0.8,-0.5,0,FALSE,1500,750,4,13002
Norwegian,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0,FALSE,1500,750,4,13003
Norwegian,L4_uncorrelated_maximal,proposal,broad,30,20,1,0.8,-0.5,0,FALSE,1500,750,4,13004
Norwegian,L2_sentence_type_slopes_only,proposal,broad,30,20,1,0.8,-0.5,0,FALSE,1500,750,4,13005
